,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
10695,LA,Vidalia town,34533.0,23.6,72.0,26.2,0.2,0.4,1.5,81.4
10696,LA,Vienna town,57031.0,14.0,94.0,3.4,0.0,1.3,1.8,86.4
10697,LA,Vienna Bend CDP,31370.0,46.4,47.6,46.5,0.8,0.3,1.6,90.7
10698,LA,Village St. George CDP,66990.0,11.4,62.6,30.9,0.1,3.1,6.0,93.8
10699,LA,Ville Platte city,18619.0,38.0,33.8,64.4,0.2,0.6,1.0,62.6
10700,LA,Vinton town,27000.0,28.7,75.3,20.7,0.6,0.4,2.7,72.9
10701,LA,Violet CDP,36024.0,21.3,40.5,55.4,0.7,0.6,4.7,76.7
10702,LA,Vivian town,25232.0,28.1,55.8,41.4,0.7,0.5,1.4,76.5
10703,LA,Waggaman CDP,36141.0,21.7,31.3,63.5,0.6,0.9,5.7,83.2
10704,LA,Walker town,62603.0,11.1,85.2,10.8,0.3,0.7,2.9,90.7
10705,LA,Wallace CDP,41635.90570175439,12.7,7.2,90.8,0.6,0.0,1.5,85.9
10706,LA,Wallace Ridge CDP,41635.90570175439,2.1,96.9,2.5,0.1,0.0,0.1,83.8
10707,LA,Washington town,19531.0,38.5,43.8,53.3,0.4,0.1,1.9,80.4
10708,LA,Waterproof town,18182.0,53.7,8.1,91.9,0.0,0.0,0.1,66.2
10709,LA,Watson CDP,60045.0,7.8,97.3,1.3,0.3,0.2,1.0,83.0
10710,LA,Welcome CDP,44531.0,39.0,4.0,94.4,0.9,0.0,0.0,82.6
10711,LA,Welsh town,33683.0,26.5,77.5,20.3,0.2,0.1,1.4,77.7
10712,LA,Westlake city,49750.0,14.7,77.2,19.7,0.5,0.3,3.3,86.6
10713,LA,Westminster CDP,85718.0,10.3,84.2,10.2,0.2,3.0,4.1,99.5
10714,LA,West Monroe city,31975.0,28.5,61.9,33.6,0.4,0.8,3.5,85.6
10715,LA,Westwego city,32694.0,23.7,74.0,20.2,1.3,0.7,6.2,75.9
10716,LA,White Castle town,23261.0,42.2,13.8,85.0,0.1,0.1,1.3,72.1
10717,LA,Wilson village,36731.0,19.7,19.8,78.8,0.0,0.0,0.2,73.7
10718,LA,Winnfield city,25296.0,38.5,45.8,50.6,0.6,0.4,2.6,81.2
10719,LA,Winnsboro city,19409.0,52.3,31.3,66.6,0.1,0.4,1.2,65.0
10720,LA,Wisner town,21838.0,33.2,55.1,43.8,0.1,0.1,1.3,67.8
10721,LA,Woodmere CDP,50836.0,22.8,11.4,80.4,0.3,4.2,5.8,84.4
10722,LA,Woodworth town,61000.0,4.7,90.0,7.5,0.7,0.8,1.7,89.6
10723,LA,Youngsville city,97043.0,3.0,89.8,6.8,0.4,1.1,2.9,94.7
10724,LA,Zachary city,74274.0,8.8,61.7,35.4,0.3,0.8,1.5,92.7
10725,LA,Zwolle town,24423.0,34.6,30.0,48.9,15.9,0.1,5.5,74.6
10726,ME,Anson CDP,43750.0,23.3,97.9,0.5,0.8,0.0,0.5,89.1
10727,ME,Ashland CDP,32045.0,20.3,98.0,1.1,0.3,0.3,1.1,85.4
10728,ME,Auburn city,46760.0,16.1,93.7,2.5,0.4,0.9,1.5,88.9
10729,ME,Augusta city,39544.0,19.7,94.1,1.1,0.7,1.5,1.8,88.5
10730,ME,Bangor city,35674.0,26.2,93.1,1.7,1.2,1.7,1.5,91.4
10731,ME,Bar Harbor CDP,42117.0,19.5,94.2,1.2,0.1,2.8,1.5,94.5
10732,ME,Bath city,38407.0,24.1,95.1,1.2,0.3,0.6,1.8,93.0
10733,ME,Belfast city,35946.0,25.3,96.7,0.5,0.4,0.4,1.2,90.8
10734,ME,Berwick CDP,68869.0,4.2,94.3,0.6,0.3,2.0,1.4,95.0
